entrée	James EN	James FR
Alartar	1	1
Alasalet	1	1
Alastrob	1	1
Alatan	1	1
Alaternoides	1	1
Alaternus	1	1
Alati	1	1
Alati processus, Alares	1	1
Alauda	1	1
Alaurat	1	1
Alba animalia	1	1
Alba terra	1	1
Alba vitiligo	1	1
Albadara	1	1
Albagiazi	1	1
Albani	1	1
Albanum	1	1
Albara	1	1
Albaras	1	1
Albatio	1	
Albatio, Albificatio & dealbatio		1
Albedo	1	1
Alberas	1	1
Alberick	1	1
Albeston	1	
Albetad	1	1
Albeton		1
Albi	1	1
Albificatio	1	1
Albinum	1	1
Albir	1	1
Albor	1	1
Albora	1	1
Alborca	1	1
Albot	1	1
Albotat	1	1
Albotim	1	
Albotis	1	1
Albottum		1
Albucasis	1	1
Albuginea tunica oculorum	1	1
Albugineus humor occuli		1
Albugineus humor oculi	1	
Albugo oculorum	1	1
Albuhar	1	1
Albula	1	1
Albulae aquae, Albae	1	1
Album graecum	1	1
Album hispanicum	1	1
Album jus	1	1
Album nigrrum		1
Album nigrum	1	
Album oculi	1	1
Album olus	1	1
Album severi collyrium	1	
Album unguentium		1
Album unguentum	1	1
Album, Album severi collyrum		1
Albumen	4	
Albumen ovi		4
Albumor	1	1
Alburnum	1	1
Alburnus ausonii	1	1
Albus	1	1
Albus fluor		1
Albus fluor, Fluxus	1	
Alcadp	1	1
Alcafiel	1	1
Alcahest	5	6
Alcali, Alkali	27	36
Alcalisatio	1	1
Alcancali	1	1
Alcanna	1	1
Alcaol	1	1
Alcar	1	1
Alcara	1	1
Alce	1	1
Alcea	1	1
Alcea indica		1
Alcebris vivum	1	1
Alcedo	1	1
Alchachil	1	1
Alcharith		1
Alcharith, Alecharith	1	
Alchemia		1
Alchemia, Alchymia	1	
Alchien	1	1
Alchimelech	1	1
Alchimia	1	
Alchimilla	1	1
Alchitram		1
Alchitram, Alchieram	1	
Alchitran	1	1
Alchitura	1	1
Alchollea	1	1
Alchymia		1
Alcibiadium	1	1
Alcimad	1	1
Alciot	1	
Alciot, Achiotl		1
Alcob	1	1
Alcocalum	1	
Alcocalum, Cinara		1
Alcoel	1	
Alcoel, Lac acetosum		1
Alcofol	1	1
Alcohol	9	14
Alcol	1	1
Alcola	1	1
Alcolismus	1	1
Alcolita	1	1
Alcone	1	1
Alcore	1	1
Alcte	1	1
Alcubd, Alumbair	1	1
Alcubrith, Alcur, Alcuzar		1
Alcubrith, Alcur, Aluzar	1	
Alcyonium	1	1
Aldabaram	1	1
Alec, Alech	1	1
Alecharith	1	1
Alectoria, Lapis Alectorius	1	
Alectoria, Lapis alectorius		1
Alectorolophus	1	1
Alefantes	1	
Aleimma	1	1
Aleion	1	1
Aleipha	1	1
Alelaion	1	1
Alema	1	1
Alembaci	1	
Alemban		1
Alembic	1	1
Alembicus	1	1
Alembroth	1	1
Alemzadat	1	1
Alenon	1	1
Aleophanginae pilulae	1	1
