488	ALFADINAM	
489	ALFATIDE	
490	ALFESERA	
491	ALFOI	
492	ALFUSA	
493	ALOALI	
494	ALGAMET	
495	ALGEMA	ἄλγημα, ἄλγος
496	ALGERIE	
497	ALGEROTH	
498	ALGOS	ἄλγρς
499	ALIANI	
500	ALICA	χεῖδρος
501	ALICES	
502	ALICORNU	
503	ALIENATIO	
504	ALIENUM	ἀλλότριον
505	ALIFORHIS	ππρνγοειδη'ς
506	ALIGULUS	
507	ALIMA	
508	ALIMENTUM	τροφὴ, Εχ
509	ALINDESIS	ἀλόδησις, ἀλινδίς
510	ALINTHISAR	
511	ALIOCAB	
512	ALIPAENOS	ἀλίπαινος, ἀλήπιπετος, λιπαήνειν
513	ALIPILI	
514	ALIPTA	
515	ALISTELES	
516	ALITURA	θρέψις
517	ALKAES	
518	ALKAFIAL	
519	ALKAHEST	
520	ALKALE	
521	ALKALI	
522	ALKALI	
523	ALKALID	
524	ALKANT	
525	ALKANTUM	
526	ALKANZI	
527	ALKARA	
528	ALKARANUM	
529	ALKASA	
530	ALKERMES	
531	ALKIAN	
532	ALKIBRIC	
533	ALKIN	
534	ALKIN	
535	ALKITRAM	
536	ALKOEL	
537	ALKOL	
538	ALKOSOR	
539	ALKY	
540	ALKIMIA	
541	ALLABROT	
542	ALLANTOIDES	ἀλλαυτοειδὴς
543	ALLIARAERIS	
544	ALLIGATURA	
545	ALLOCHOOS	ἀλλοχὸος
546	ALLOCHROEO	ἀλλοχροέω
547	ALLODEMIA	ἀλλοδημία
548	ALLOEOSIS	ἀλλόιωσις, ἀλλοιωτικος
549	ALLOEOTROPEO	ἀλλοιοτροπδα
550	ALLOGNOEO	ἀλλογνοἐιυ, Β^μφρονέω
551	ALMA	
552	AIMABRI	
553	ALMAGER	
554	ALMAGRA	
555	ALMAKANDA	
556	ALMARCAT	
557	ALMARGEN	
558	ALMARIAE	
559	ALMARKASITA	
560	ALMARTAK	
561	ALMATATICA	
562	ALMECHASITE	
563	ALMELFLETU	
564	ALMENE	
565	ALMETAT	
566	ALMISADIR	
567	ALMIZADIE	
568	ALNEC	
569	ALOE	ἀλόη
570	ALOEDARIUM	ἀλοηδαχάον
571	ALOFEL	
572	ALOGAR	
573	ALOGOTROPHIA	ἀλογοτροφτά
574	ALOPECIA	ἀλωπεκία
575	ALOPEX	αλώπηξ, ἀλάπεκες
576	ALOS	
577	ALOSA	θρίασσα, φρὶασσα
578	ALPHESERA	
579	ALPHITIDON	ἀλφιτιδο'τ, κάταγμα
580	ALPHITON	ἄλφιτον
581	ALPHUS	ἀλφὸς
582	ALEAMUTI	
583	ALRATICA	
584	ALSAMACH	
585	ALSECH	
586	ALSELAT	
587	ALSIRACOSTUM	
588	ALSUS	αρνώδης
589	ALTAMBUS	
590	ALTANUS	
591	ALTARIS	
592	ALTERANS	ἀλλοιωτικὸς
593	ALTERATIO	άλλόιωσις
594	ALTEY	
595	ALTHAENOMAE	ἀλθάινομαι, θεραπεύομαι
596	ALTHANACHA	
597	ALTHEXIS	ἀλθεῖν
598	ALTIMAR	
599	ALTIMIO	
600	ALTINCAR	
601	ALTINGAT	
602	ALTINURAUM	
603	ALTOLIZOIM	
604	ALTRIX	θρεπτικὴ
605	ALTUS	ὑψηλὸς
606	ALUDEL	
607	ALUDIT	
608	ALVEARIUM	
609	ALVECH	
610	ALVEOLI	
611	ALVEUS	
612	ALUFIR	
613	ALUMBOTI	
614	ALUMEN	ςνπτηριἄ
615	ALUNIBUR	
616	ALUNSEL	
617	ALUSAR	
618	ALUSEN	
619	ALUSIA	ἀλουσία
620	ALUTA	σκύτος
621	ALVUS	κὰτω, κοιλία
622	ALYCE	άλυκη, ἄλνσις, ἀλνσμος, αλνξις, ἀλύζειν, άλνκτέειν
623	ALYPIAS	
624	ALZEGI	
625	ALZEMAFOR	
626	ALZILAT	
627	ALZIMAR	
628	ALZOFAR	
629	AMALDYNO	ἀμαλδυ'νω, ἀμαλδύνομαι
630	AMALGAMA	
631	AMANDINUS	
632	AMARACINON	ἀμαράκινον
633	AMARUM	πικρόν
634	AMARYGAE	ἀααρυγάι
635	AMATORIA	
636	AMATORIA	
637	AMATORIUS	
638	AMAUROSIS	άααύρωσις
639	AMAUSUM	
640	AMAZONIOS	ἀμαζου, ιος
641	AMBAR	
642	AMBE	ἄμβη
643	AMBIDEXTER	ἀμφιδεξιος
644	AMBLOSIS	άμβλωσις, άμβλωμα, ἀμβλωτικὰ
645	AMBLYOPIA	άαβλυιυπάο, ἀμβλνωγμὸς, άμβλνωσμὰστ, ἀμαύρωσις
646	AMBON	
647	AMBRA	
648	AMBROSIA	ἀμβροσία
649	AMBULATIO	βάδίσις
650	AMBULO	
651	AMBUSTA	πνρίκανστα, καστακαύματα
652	AMEIBO	δρμὸιν
653	AMENENOS	ἀμενηνὸς, μέ, ος
654	AMENTIA	ἅάοια
655	AMENTUM	χοινίτη
656	AMETHODICUM	ἀμεθοδίκὸτ
657	AMETHYSTA	ἀμὸθυστα
658	AMETRIA	ἀμεστήίι»
659	AMIA	
660	AMIANTUS	ἀμίαυτος
661	AMICULUM	
662	AMIDUM	
663	AMINAEUS	ὰμίναιος
664	AMMA	ὰέμμα, ἅπτω
665	AMMION	ἄμμιον
666	AMMOCHOSIA	ἀμμοχωπά
667	AMMOCHRYSOS	ἀμμῥχρνσος
668	AMMODITES	άμμοδίπὴς, ψαμμοδίτης
669	AMMONIACUM	ἀμμωνιακὸν
670	AMMONION	ἀμμάνιον
671	AMMONIS	
672	AMMONITRUM	ἀμμονιτρον
673	AMNA	
674	AMNIOS	ἄμνιος, ἄμ, ιον
675	AMNIS	
676	AMOLYNTON	ἀμὰλυντον
677	AMONGAERIEL	
678	AMOR	ἔρως
679	AMORGE	ἀμὸργα
680	AMPELIS	ἀμπελις
681	AMPELITIS	ἀμπελιτίς
682	AJIPHARISTEROS	άμφαριστορός
683	AMPHEMERINUS	πυρετὸς
684	AMPHIBLESTAOIDES	ἀμφιβληστροειδὴς
685	AMPHIBRANCHIA	άμφιβράγχια
686	AMPHICATHEZOMAE	ἀμφικαθέζομαι
687	AMPHICAUSTIS	ἀμφιημυστις, ίνστρα
