cote	entry	grec
_27898	Bich, Bick	
_27898	Bichuque	
_27898	Bieco	
_27898	Bier	
_27898	Siermer	
_27898	Biett	
_27898	Bijumeau	
_27898	Bilharzie	
_27898	Biliation	
_27898	Bilicyanine	
_27898	Biligenése	
_27898	Bilimbi	
_27898	Bilin	
_27898	Biliphéique	
_27898	Biloculaire	
_27898	Biocratique	
_27898	Biogéne, Biogénique	
_27898	Blognose	
_27898	Biopsie	
_27898	Bioscope	
_27898	Birmenstorf	
_27898	Bis-ischiatique	
_27898	Bismal	
_27898	Bismuthisme	
_27898	Biuret	
_27898	Black-draught	
_27898	Blaisement	
_27898	Blastomère	
_27898	Blastomycète	
_27898	Blastopore	
_27898	Blastula	
_27898	Blennophtalmie	
_27898	Blennorragie	
_27898	Blennorragique	
_27898	Blénnorroïde	
_27898	Blennurétrie	
_27898	Blépharophtalmie	
_27898	Blepharosténose	
_27898	Blessé	
_27898	Bléville	
_27898	Blighia	
_27898	Bobine	
_27898	Bocconie	
_27898	Bochet	
_27898	Bockhart	
_27898	Bocklet	
_27898	Boerhaavie	
_27898	Boisson	
_27898	Boîtier	
_27898	Boldine	
_27898	Boldoglucine	
_27898	Bondonneau	
_27898	Bonfils	
_27898	Bongardia	
_27898	Bonnaire	
_27898	Bonnes, Eaux-bonnes	
_27898	Bonnet	
_27898	Borassus	
_27898	Borget	
_27898	Bordighera	
_27898	Boricine	
_27898	Borine	
_27898	Bornio	
_27898	Borol	
_27898	Borosalicylique	
_27898	Borrérie	
_27898	Borszek	
_27898	Boswellie	
_27898	Botanclogie	
_27898	Bothriocéphalidés	
_27898	Bothrops	
_27898	Botryogenes	
_27898	Botryomyces	
_27898	Botryomycose	
_27898	Botulisme	
_27898	Bouchard	
_27898	Boucherie	
_27898	Boudin	
_27898	Bouillaud	
_27898	Bouilly	
_27898	Boulanger	
_27898	Boulette	
_27898	Boulou	
_27898	Bourbon-Lancy	
_27898	Bourbon-l’Archambault	
_27898	Bourbonne-les-Bains	
_27898	Bourboule	
_27898	Bourre	
_27898	Boussingaultia baselloides	
_27898	Boutet	
_27898	Bowdichia	
_27898	Bowman	
_27898	Bozzolo	
_27898	Brachycardie	
_27898	Brachydactylie	
_27898	Bradyarthrie	
_27898	Bradydiastolie	
_27898	Bradycardie	
_27898	Bradyesthésie	
_27898	Bradyglossie	
_27898	Bradyglotte	
_27898	Bradylalie	
_27898	Bradylogie	
_27898	Bradyphasie	
_27898	Bradytrophie	
_27898	Bragantie	
_27898	Braidisme	
_27898	Branchiomère	
_27898	Brand	
_27898	Branlant	
_27898	Braune	
_27898	Bravais	
_27898	Break-bone	
_27898	Bremer	
_27898	Brennerbad	
_27898	Brides-les-Bains	
_27898	Bridou	
_27898	Brièveté	
_27898	Briquet	
_27898	Britannique	
_27898	Broca	
_27898	Brocq	
_27898	Brodie	
_27898	Bromaline	
_27898	Bromaloïne	
_27898	Bromamide	
_27898	Brométhylformine	
_27898	Bromhidrose	
_27898	Bromidia	
_27898	Bromipine	
_27898	Bromol	
_27898	Bromuré	
_27898	Bronche	βρόγχια
_27898	Bronchiole	
_27898	Bronchitique	
_27898	Broncholithie	
_27898	Bronchoplégie	
_27898	Bro, Nchorragie	
_27898	Brown-Séquard	
_27898	Brucee	
_27898	Bruckerau	
_27898	Brucourt	
_27898	Brûlant	
_27898	Bryoidine	
_27898	Bryonicine, Bryonine	
_27898	Bryson	
_27898	Bubuune	
_27898	Buccinato-pharyngien	
_27898	Bucco	
_27898	Budd	
_27898	Buena	
_27898	Bühl	
_27898	Bulbo-urétral	
_27898	Bunsen	
_27898	Buphtalme	
_27898	Buphtalmie	
_27898	Buranhem	
_27898	Bureau	
_27898	Burette	
_27898	Bürgenstock	
_27898	Burning of the feet	
_27898	Burquisme	
_27898	Bursite	
_27898	Burton	
_27898	Busot	
_27898	Bussang	
_27898	Butalanine	
_27898	Butyl-chloral	
_27898	Buxton	
_27898	B. V.	
_27898	Byssinosis	
_27898	Cabella di negro	
_27898	Cacalie	
_27898	Cachet	
_27898	Cachoutannique	
_27898	Cachrys	
_27898	Cacodylate	
_27898	Cacodylique	
_27898	Cacolet	
_27898	Cactine	
_27898	Cadaverine	
_27898	Cadéac	
_27898	Cadelari	
_27898	Cadet de Gassicourt	
_27898	Cadique	
_27898	Cadre	
_27898	Cæcotomie	
_27898	Caféidine	
_27898	Caféinique, Caféique, Cafique	
_27898	Cafétannate	
_27898	Cagot	
_27898	Cahinca	
_27898	Caillebotté	
_27898	Cailloute	
_27898	Caïncétine	
_27898	Caire	
_27898	Caju	
_27898	Cak	
_27898	Calabariser	
_27898	Calcanéo-sus-phalangettien commun	
_27898	Calcarine	
_27898	Calcéolaire	
_27898	Calcophore	
_27898	Calculeux	λώιών
_27898	Caldas de Cuentès	
_27898	Caldas de Mombrey	
_27898	Caldas de Oviedo	
_27898	Caldas de Reyes	
_27898	Calicicole	
_27898	Calliandra	
_27898	Callicarpe	
_27898	Calligone	
_27898	Calloso-marginal	
_27898	Calmants	
_27898	Calorition	
_27898	Calotropis	
_27898	Calyptranthe	
_27898	Calystegia	
_27898	Camares	
_27898	Cambo	
_27898	Caméline	
_27898	Camellia	
_27898	Camelline	
_27898	Camoins-les-Bains	
_27898	Camomillène	
_27898	Campimètre	
_27898	Campto-dactylie	
_27898	Canadine	
_27898	Cancérémie	
_27898	Cancéreux	
_27898	Cancérisme	
_27898	Canchalagua	
_27898	Caneficier	
_27898	Canigou	
_27898	Cannabène	
_27898	Cannelier	
_27898	Cannes	
_27898	Cannstatt	
_27898	Cantharidate, Cantharate	
_27898	Cantharidiens	
_27898	Cantharidique	
_27898	Cantharique	
_27898	Canthectomie	
_27898	Canthite	
_27898	Canthorraphie	
_27898	Capillarimètre	
_27898	Capillicule	
_27898	Câpre	
_27898	Capreolaire	
_27898	Capri	
_27898	Capselle	
_27898	Capsulateur	
_27898	Capsulation	
_27898	Capsulo-lenticulaire	
_27898	Captol	
_27898	Caput	
_27898	Caput galeatum	
_27898	Capvern	
_27898	Carabana	
_27898	Caracha	
_27898	Carambolier	
_27898	Caramélane, Caramélène, Caraméline	
_27898	Caraté, Caratée, Carathès	
_27898	Carbamate	
_27898	Carbolisme	
_27898	Carbonémie	
_27898	Carcanières	
_27898	Carcapulll	
_27898	Cardarelli	
_27898	Carde poirée	
_27898	Cardiacalgie	
_27898	Cardiélcose	
_27898	Cardine	
_27898	Cardiogramme	
_27898	Cardiopneumatique	
_27898	Cardiopneumographe	
_27898	Cardiopuncture	
_27898	Cardioscope	
_27898	Cardioscopie	
_27898	Cardiosténome	
_27898	Cardio-vasculaire	
_27898	Cardivalvulité	
_27898	Cardol	
_27898	Cardopathium	
_27898	Carica-papaya	
_27898	Carissa	
_27898	Carlsbad	
_27898	Carminatifs	
_27898	Carminique	
_27898	Carnine	
_27898	Caroub	
_27898	Carpaïne	
_27898	Carpasus, Carpasum	
_27898	Carpesujm	
_27898	Carpobalsamum	
_27898	Carragahéenine	
_27898	Carré	
_27898	Carrion	
_27898	Cartol	
_27898	Carton	
_27898	Caryocinèse	
_27898	Caryocinétique	
_27898	Garyocostin	
_27898	Caryolyse	
_27898	Caryomicrosome	
_27898	Caryomitome	
_27898	Caryophylle	
_27898	Caryophyclique	
_27898	Caryoschise	
_27898	Cascara	
_27898	Caséase	
_27898	Caséification	
_27898	Caséinate	
_27898	Gaseose	
_27898	Oaserne	
_27898	Casimiroa edulis	
_27898	Cassan	
_27898	Cassaripe	
_27898	Cassytha	
_27898	Castellaniare di Stabia	
_27898	Castéra-Verduzan	
_27898	Catacrote	
_27898	Catacrotisme	
_27898	Catalyseur	
_27898	Catalytie	
_27898	Catanance	
_27898	Catananche	
_27898	Catane	
_27898	Catapuce	
_27898	Catatonie	
_27898	Catélectrotonique	
_27898	Catechu	
_27898	Catéchurétine	
_27898	Catgut	
_27898	Catha	
_27898	Catharticum lunare	
_27898	Cathartiques	
_27898	Cathartomannite	
_27898	Cathérétiques	
_27898	Cathétomètre	
_27898	Catoptroscqpie	
_27898	Caucasique	
_27898	Causalgie	καϋσις
_27898	Causticophore	
_27898	Cauterets	
_27898	Cauvalat	
_27898	Caux	
_27898	Cavernuleux	
_27898	Cayapona	
_27898	Cayaponine	
_27898	Cazenave	
_27898	Cazin	
_27898	Céarine	
_27898	Cebadille	
_27898	Cecropia, Cécropie	
_27898	Cédratier	
_27898	Célastrine	
_27898	Celastrus	
_27898	Gélation	
_27898	Celles	
_27898	Cellulifuge	
_27898	Cellulipète	
_27898	Cellulo-fibreux	
_27898	Celluloïd	
_27898	Cellulosique	
_27898	Célccolique	
_27898	Célorraphie	
_27898	Célosie	
_27898	Ceosome	
_27898	Cénésthésie	
_27898	Centrifuger	
_27898	Centrifugeur	
_27898	Centrolécithe	
_27898	Centrosome	
_27898	Céphælis	
_27898	Céphalante	
_27898	Céphalhydrocèle	
_27898	Céphalohémomètre	
_27898	Céphalomancie	
_27898	Céphalométrie	
_27898	Cephalo-rachidien	
_27898	Oéphalotripsie	
_27898	Cératocône	
_27898	Cérato-glosse, Cératonyxis, Cérato-pharyngien, Cératotome, Cératotomie	
_27898	Cerbera	
_27898	Cerbérine	
_27898	Cercaires	
_27898	Cerclage	
_27898	Cercocystis	
_27898	Cérébrasthénie	
_27898	Cérébrasthénique	
_27898	Cerébrite	
_27898	Cérébro-cardiaque	
_27898	Cérébroïde	
_27898	Cérisier	κέρασον
_27898	Cérocôme	
_27898	Certificat	
_27898	Cervoise	
_27898	Césium	
_27898	Cestodes	
_27898	Cestona	
_27898	Cestreau	
_27898	Cétraire	
_27898	Cévadilline	
_27898	Cevadine	
_27898	Cévine	
_27898	Chabarro, Chaparro	
_27898	Chabetout	
_27898	Chætecheline	
_27898	Chaîne	
_27898	Chaînette	
_27898	Chalazes	
_27898	Chalazodermie	
_27898	Chalets Sainte-Nérée-de-Ferrère	
_27898	Chalicose, Chalicosis	
_27898	Challes	
_27898	Chamæmelum	
_27898	Chambon	
_27898	Champel	
_27898	Champéry	
_27898	Champex	
_27898	Champignon	μύκητες
_27898	Chanteur	
_27898	Chaput	
_27898	Chareqn	ανβοαξ
_27898	Charbonnières	
_27898	Charcot	
_27898	Charme	
_27898	Charqui	
_27898	Chartreuse	
_27898	Château-Gontier	
_27898	Châteauneuf	
_27898	Châteldon	
_27898	Châtel-Guyon	
_27898	Châtenois	
_27898	Châtrer	
_27898	Châtrure	
_27898	Chaudé-maladie	
_27898	Chaudes	
_27898	Chaudesaigues	
_27898	Chauffard	
_27898	Chauffeur	
_27898	Chaufontaine	
_27898	Chaulage	
_27898	Ghaulmoogra	
_27898	Chaumont	
_27898	Chaumont	
_27898	Chaussure	
_27898	Chaves	
_27898	Chavica	
_27898	Chavicine	
_27898	Chavicique	
_27898	Cheiracanthus	
_27898	Cheiranthus	
_27898	Cheiro-pompholyx	
_27898	Cheltenham	
_27898	Chemillé	
_27898	Chemins de fer	
_27898	Chênevis	
_27898	Chenocholalique	
_27898	Chénocholéique	
_27898	Chenopodium	
_27898	Chéramélier	
_27898	Cherchewsky	
_27898	Chermés	
_27898	Cheyne	
_27898	Chezah	
_27898	Chianciano	
_27898	Chichim	
_27898	Chichimequillo	
_27898	Chicks Spring’s	
